title,remote,company_website,resume_match_score,internship,apply_link,match_explanation,experience_required,full_job_description,timestamp,salary,benefits,job_id,skills,required_technologies,location,posting_date,education_requirement,company,application_deadline,source,recruiter_name,summary
Database Engineer,False,,75.0,False,https://in.linkedin.com/jobs/view/database-engineer-at-bebo-technologies-4430374182,"The job's location in Chandigarh, India, is a perfect match for the candidate's preference. The 'Database Engineer' role strongly aligns with the candidate's core skills in SQL and PostgreSQL, which are essential for data engineering. Although the job title isn't 'Data Engineer' explicitly, the foundational skills are highly relevant. As no experience requirement is specified, it is assumed to be potentially suitable for a fresh graduate.",Unknown,"Database Engineer at bebo Technologies in Chandigarh, India",2026-07-03T14:02:37.182600,,,li_0b9da3f1,,,"Chandigarh, India",2026-07-03T14:02:37.182600,,Bebo Technologies,,LinkedIn,,"- The job is for a Database Engineer at bebo Technologies, located in Chandigarh, India.
- The role focuses on database engineering, aligning with the candidate's strong SQL and PostgreSQL skills.
- The physical location in India is a direct match for the candidate's preference."
Data Engineer II,False,,0.0,False,https://in.linkedin.com/jobs/view/data-engineer-ii-at-zafin-4412900268,"The 'Data Engineer II' title typically indicates a requirement for more than 2 years of experience, which does not align with a fresh graduate's profile. Therefore, the resume match score is 0.",Unknown,"Data Engineer II at Zafin in Thiruvananthapuram, Kerala, India",2026-07-03T14:02:37.182600,,,li_b2774aa8,,,"Thiruvananthapuram, Kerala, India",2026-07-03T14:02:37.182600,,Zafin,,LinkedIn,,"- The role is for a Data Engineer II at Zafin.
- The position is located in Thiruvananthapuram, Kerala, India.
- The candidate is a fresh graduate seeking entry-level or junior roles."
Data Engineer,False,,90.0,False,https://in.linkedin.com/jobs/view/data-engineer-at-accenture-in-india-4404506114,"The job title 'Data Engineer' and its location in India are an excellent match for the candidate's profile as a fresh graduate seeking an entry-level role. The candidate's skills in Python, SQL, and Spark are highly relevant. The experience requirement is not explicitly stated as more than 2 years, so it's considered a strong potential fit.",Unknown,"Data Engineer at Accenture in India in Bhubaneswar, Odisha, India",2026-07-03T14:02:37.182600,,,li_6dd633b6,,,"Bhubaneswar, Odisha, India",2026-07-03T14:02:37.182600,,Accenture In India,,LinkedIn,,"- The job is for a Data Engineer at Accenture located in Bhubaneswar, Odisha, India.
- The location in India aligns with the candidate's preference for physical roles in India.
- The job title 'Data Engineer' directly matches the candidate's career interest and skills."
Data Platform Engineer,False,,,False,https://in.linkedin.com/jobs/view/data-platform-engineer-at-accenture-in-india-4359417930,,Unknown,"Data Platform Engineer at Accenture in India in Coimbatore, Tamil Nadu, India",2026-07-03T14:02:37.182600,,,li_ac7cc21b,,,"Coimbatore, Tamil Nadu, India",2026-07-03T14:02:37.182600,,Accenture In India,,LinkedIn,,
Data Engineer,False,,,False,https://in.linkedin.com/jobs/view/data-engineer-at-prodege-llc-4414635573,,Unknown,"Data Engineer at Prodege, LLC in Itanagar, Arunachal Pradesh, India",2026-07-03T14:02:37.182600,,,li_53808127,,,"Itanagar, Arunachal Pradesh, India",2026-07-03T14:02:37.182600,,"Prodege, Llc",,LinkedIn,,
Data Engineer,False,,,False,https://in.linkedin.com/jobs/view/data-engineer-at-ziki-4116556690,,Unknown,Data Engineer at Ziki in Mumbai Metropolitan Region,2026-07-03T14:02:37.182600,,,li_42db45d8,,,Mumbai Metropolitan Region,2026-07-03T14:02:37.182600,,Ziki,,LinkedIn,,
Data Engineer - L2,False,,,False,https://in.linkedin.com/jobs/view/data-engineer-l2-at-forbes-advisor-4424744854,,Unknown,Data Engineer - L2 at Forbes Advisor in Mumbai Metropolitan Region,2026-07-03T14:02:37.182600,,,li_0cd58e7d,,,Mumbai Metropolitan Region,2026-07-03T14:02:37.182600,,Forbes Advisor,,LinkedIn,,
Data Engineer,False,,,False,https://in.linkedin.com/jobs/view/data-engineer-at-jade-global-4414649060,,Unknown,"Data Engineer at Jade Global in Hyderabad, Telangana, India",2026-07-03T14:02:37.182600,,,li_39f0a410,,,"Hyderabad, Telangana, India",2026-07-03T14:02:37.182600,,Jade Global,,LinkedIn,,
Data Engineer,False,,,False,https://in.linkedin.com/jobs/view/data-engineer-at-infynd-4426923861,,Unknown,"Data Engineer at InFynd in Coimbatore South, Tamil Nadu, India",2026-07-03T14:02:37.182600,,,li_5d9f3a08,,,"Coimbatore South, Tamil Nadu, India",2026-07-03T14:02:37.182600,,Infynd,,LinkedIn,,
Data Engineer,False,,,False,https://in.linkedin.com/jobs/view/data-engineer-at-dynatech-systems-4432182603,,Unknown,"Data Engineer at DynaTech Systems in Ahmedabad, Gujarat, India",2026-07-03T14:02:37.182600,,,li_ce893b6d,,,"Ahmedabad, Gujarat, India",2026-07-03T14:02:37.182600,,Dynatech Systems,,LinkedIn,,
